Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail;Quelle
2Leser;Elisabethgasse 59;7301;Deutschkreutz;AT;Burgenland;Mittelburgenland;+43 2613 89214;office@2leser.at;ÖWM-Betriebssuche
3mäderlhaus schrammel;Am Anger 17;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 3111;wine@weingut-schrammel.at;ÖWM-Betriebssuche
ANDERT - WEIN;Lerchenweg 16;7152;Pamhagen;AT;Burgenland;Neusiedlersee;+43 680 5515472;michael@andert-wein.at;ÖWM-Betriebssuche
A-Nobis Sektkellerei N. Szigeti;Am Anger 31;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 20899;sekt@a-nobis.at;ÖWM-Betriebssuche
Achs (Feldgasse);Feldgasse 13;7071;Rust;AT;Burgenland;Ruster Ausbruch;+43 2685 63024;;ÖWM-Betriebssuche
Achs (Am Goldberg);Am Goldberg 15;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2521;;ÖWM-Betriebssuche
Achs (Obere Quergasse);Obere Quergasse 4;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2781;;ÖWM-Betriebssuche
Achs (Gols am Berg);Gols am Berg 9;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2412;;ÖWM-Betriebssuche
Paul Achs;Neubaugasse 13;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 23670;office@paul-achs.com;ÖWM-Betriebssuche
Achs Werner;Goldberg 5;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 23900;kontakt@wernerachs.at;ÖWM-Betriebssuche
Achs-Wendelin Weine;Neustiftgasse 77;7122;Gols;AT;Burgenland;Neusiedlersee;+43 699 19924284;office@achs-wendelin.at;ÖWM-Betriebssuche
Ackermann;Hauptstrasse 71;7082;Donnerskirchen;AT;Burgenland;Leithaberg;+43 2683 8344;;ÖWM-Betriebssuche
Adrian;Wallernerstraße 29;7143;Apetlon;AT;Burgenland;Neusiedlersee;+43 699 10849448;office@weingut-adrian.at;ÖWM-Betriebssuche
Agerlhof;Untere Hauptstrasse 15;7093;Jois;AT;Burgenland;Leithaberg;+43 699 14052222;weingut@agerlhof.at;ÖWM-Betriebssuche
Alfons;Seestrasse 16;7091;Breitenbrunn;AT;Burgenland;Leithaberg;+43 2683 2021;;ÖWM-Betriebssuche
Allacher;Bahngasse 15;7122;Gols;AT;Burgenland;Neusiedlersee;+43 650 9848950;gerhard@weingut-allacher.at;ÖWM-Betriebssuche
Allacher Rainer KG;Neustiftgasse 69;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2304;office@winzerhof-allacher.at;ÖWM-Betriebssuche
Allacher Vinum Pannonia;Salzbergweg 4;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 3380;wein@allacher.com;ÖWM-Betriebssuche
Altenburger;Auflangenweg 1;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 7268;;ÖWM-Betriebssuche
Altenburger J. & L.;Neusiedlerstrasse 41;7141;Podersdorf am See;AT;Burgenland;Neusiedlersee;+43 2177 2706;;ÖWM-Betriebssuche
Altenburger Markus;Untere Hauptstrasse 62;7093;Jois;AT;Burgenland;Leithaberg;+43 2160 71089;contact@markusaltenburger.com;ÖWM-Betriebssuche
Amelin;Hauptstrasse 18;7092;Winden am See;AT;Burgenland;Leithaberg;;;ÖWM-Betriebssuche
Amon;Mühlgasse 17;7123;Mönchhof;AT;Burgenland;Neusiedlersee;;;ÖWM-Betriebssuche
Domaine Andau;Dammweg 1;7163;Andau;AT;Burgenland;Neusiedlersee;+43 2176 2181;office@domaine-andau.at;ÖWM-Betriebssuche
Andert (Söllnergasse);Söllnergasse 5;7152;Pamhagen;AT;Burgenland;Neusiedlersee;+43 2174 25573;;ÖWM-Betriebssuche
Andert (Wasserzeile);Wasserzeile 45;7143;Apetlon;AT;Burgenland;Neusiedlersee;+43 699 12242161;josef.andert@utanet.at;ÖWM-Betriebssuche
Andert (Hauptstrasse);Hauptstrasse 63;7152;Pamhagen;AT;Burgenland;Neusiedlersee;+43 699 17118911;andertm@gmx.at;ÖWM-Betriebssuche
Andreashof Lang;Hauptstraße 99;7072;Mörbisch am See;AT;Burgenland;Leithaberg;+43 2685 8352;;ÖWM-Betriebssuche
Andrelhof;Obere Quergasse 24;7122;Gols;AT;Burgenland;Neusiedlersee;+43 2173 2369;allacher@andrelhof.at;ÖWM-Betriebssuche
Ankerl;Weinberggasse 3;7052;Müllendorf;AT;Burgenland;Leithaberg;+43 2682 61192;ambros.ankerl@gmx.at;ÖWM-Betriebssuche
Anscheringer-Rath;Josef Haydn Gasse 25;7091;Breitenbrunn;AT;Burgenland;Leithaberg;+43 2683 2578;;ÖWM-Betriebssuche
Arachon T.FX.T;;7423;Pinkafeld;AT;Burgenland;Südburgenland;+43 3357 42367;office@arachon.com;ÖWM-Betriebssuche
Arkadenhof Mandl-Brunner;Lindengasse 7;7471;Rechnitz;AT;Burgenland;Südburgenland;+43 664 9161059;office@arkadenhofmandl.at;ÖWM-Betriebssuche
