Name;Straße;PLZ;Ort;Land;Betriebsstandort;Region;Telefon;E-Mail;Quelle
10er Vock;Steinbergweg 3;2223;Hohenruppersdorf;AT;Niederösterreich;Weinviertel;+43 2574 85221;office@weingut10er-vock.at;ÖWM-Betriebssuche
13er Haus;Jubiläumsstrasse 13;2352;Gumpoldskirchen;AT;Niederösterreich;Thermenregion;+43 2252 62412;weinbaustoeger@hotmail.com;ÖWM-Betriebssuche
20er Schulz;Kirchenstraße 15;2464;Göttlesbrunn-Arbesthal;AT;Niederösterreich;Carnuntum;+43 2162 8247;info@schulz.co.at;ÖWM-Betriebssuche
20ers Winzerei & Buschenschank;Hauptstraße 22;2202;Enzersfeld im Weinviertel;AT;Niederösterreich;Weinviertel;+43 664 5101251;wein@20ers.at;ÖWM-Betriebssuche
Aas Veronika;Königsbrunnerstraße 27;2102;Hagenbrunn;AT;Niederösterreich;Weinviertel;+43 2262 672581;;ÖWM-Betriebssuche
Achter;Hauptstraße 34;2123;Kronberg;AT;Niederösterreich;Weinviertel;+43 2245 4856;;ÖWM-Betriebssuche
Ackerl;Alfred Ziegerg. 8;2070;Mitterretzbach;AT;Niederösterreich;Weinviertel;+43 2942 2789;;ÖWM-Betriebssuche
Adam-Mühle;Auf der Wehr 13;3620;Spitz;AT;Niederösterreich;Wachau;+43 676 6338664;kontakt@adam-muehle.at;ÖWM-Betriebssuche
Agis;Unterloiben 42;3601;Dürnstein;AT;Niederösterreich;Wachau;+43 2732 59124;;ÖWM-Betriebssuche
Aichenbergkellerei;Wiener Strasse 12;3702;Niederrußbach;AT;Niederösterreich;Weinviertel;+43 2955 70408;office@aichenberg.com;ÖWM-Betriebssuche
Aichinger (Am Raiffeisenplatz);Am Raiffeisenplatz 13;2523;Tattendorf;AT;Niederösterreich;Thermenregion;+43 2253 81250;;ÖWM-Betriebssuche
Aichinger (Hauptstrasse);Hauptstrasse 15;3562;Schönberg;AT;Niederösterreich;Kamptal;+43 2733 8237;kamptal@wein-aichinger.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Aichinger (Stratzdorfer Strasse);Stratzdorfer Strasse 21;3494;Theiß;AT;Niederösterreich;Kremstal;+43 2735 8650;;ÖWM-Betriebssuche
Aichinger (Untere Hauptstrasse);Untere Hauptstrasse 27;3494;Theiß;AT;Niederösterreich;Kremstal;+43 2735 8216;office@aichingers.at;ÖWM-Betriebssuche
Aichinger (Wienerstrasse);Wienerstrasse 5;3494;Gedersdorf;AT;Niederösterreich;Kremstal;+43 2735 8490;weinbau.aichinger@aon.at;ÖWM-Betriebssuche
Aigner (Am Berg);Am Berg 29;3511;Oberfucha;AT;Niederösterreich;Kremstal;+43 2739 2516;;ÖWM-Betriebssuche
Aigner (Burgschleinitz);Burgschleinitz 52;3730;Burgschleinitz-Kühnring;AT;Niederösterreich;Weinviertel;+43 2984 20282;;ÖWM-Betriebssuche
Aigner (Hauptstrasse);Hauptstrasse 42;3400;Klosterneuburg;AT;Niederösterreich;Wagram;+43 2243 35737;;ÖWM-Betriebssuche
Aigner (Jubiläumsstrasse);Jubiläumsstrasse 1;2352;Gumpoldskirchen;AT;Niederösterreich;Thermenregion;+43 2252 62313;;ÖWM-Betriebssuche
Aigner (Weinzierl);Weinzierl 53;3500;Krems an der Donau;AT;Niederösterreich;Kremstal;+43 2732 84558;info@aigner-wein.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Aigner Franz;;3714;Roseldorf;AT;Niederösterreich;Weinviertel;+43 2959 2641;franz.aigner@aon.at;ÖWM-Betriebssuche
Aigner-Weinlinger;Eduard-Rösch Straße 30;2000;Stockerau;AT;Niederösterreich;Weinviertel;+43 650 8318448;Weinbau-weinlinger@aon.at;ÖWM-Betriebssuche
Albert;Kunigundbergstrasse 35;2380;Perchtoldsdorf;AT;Niederösterreich;Thermenregion;+43 1 8691050;;ÖWM-Betriebssuche
Alex Nebenführ;Winzergasse 1;2070;Mitterretzbach;AT;Niederösterreich;Weinviertel;+43 664 4219169;alex@nebenfuehr.com;ÖWM-Betriebssuche
Alexander Minnich;In Kirchbigeln 13;2100;Leobendorf;AT;Niederösterreich;Weinviertel;+43 680 2401387;weinbauminnich@gmail.com;ÖWM-Betriebssuche
Alexander Zöller;Hauptstr. 58;3552;Droß;AT;Niederösterreich;Kremstal;+43 650 5552539;office@weingutzoeller.at;ÖWM-Betriebssuche
Alfons;Nußdorf ob der Traisen 77;3133;Traismauer;AT;Niederösterreich;Traisental;+43 2783 82675;;ÖWM-Betriebssuche
Alfred Markus Deim;Mollandserstraße 14;3562;Schönberg;AT;Niederösterreich;Kamptal;+43 664 3502312;weinbau@deim.info;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Allram;Herrengasse 3;3491;Straß im Straßertale;AT;Niederösterreich;Kamptal;+43 2735 2232;weingut@allram.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Alphart;Wiener Straße 46;2514;Traiskirchen;AT;Niederösterreich;Thermenregion;+43 2252 52328;weingut@alphart.com;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Alphart am Mühlbach;Wassergasse 9;2514;Traiskirchen;AT;Niederösterreich;Thermenregion;+43 2252 52292;info@alphart.at;ÖWM-Betriebssuche
Alt (Hauptstrasse 11);Hauptstrasse 11;3562;Schönberg;AT;Niederösterreich;Kamptal;+43 2733 8414;alt-weine@aon.at;ÖWM-Betriebssuche
Alt (Hauptstrasse 32);Hauptstrasse 32;3471;Großriedenthal;AT;Niederösterreich;Wagram;+43 2279 7228;wagram@weingut-alt.at;ÖWM-Betriebssuche
Altenburger;Braunsdorf 9;3714;Sitzendorf an der;AT;Niederösterreich;Weinviertel;+43 2959 2638;schmidaweingut.altenburger@gmx.at;ÖWM-Betriebssuche
Altenriederer (Kirschenweg);Kirschenweg 1;3134;Nußdorf ob der Traisen;AT;Niederösterreich;Traisental;+43 2783 6475;obsthof@altenriederer.at;ÖWM-Betriebssuche
Altenriederer (Thallerner Hauptstrasse);Thallerner Hauptstrasse 71;3511;Furth bei Göttweig;AT;Niederösterreich;Kremstal;+43 2739 2183;;ÖWM-Betriebssuche
Altmann;Fabrikstraße 1;3452;Trasdorf;AT;Niederösterreich;Wagram;+43 699 17051927;office@winzerhof-altmann.at;ÖWM-Betriebssuche
Alzinger;Unterloiben 11;3601;Dürnstein;AT;Niederösterreich;Wachau;+43 2732 77900;weingut@alzinger.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Amon (Bachgasse);Bachgasse 92;3610;Weißenkirchen in der Wachau;AT;Niederösterreich;Wachau;+43 2715 2518;;ÖWM-Betriebssuche
Amon (Baumgarten);Baumgarten 9;3512;Mautern an der Donau;AT;Niederösterreich;Wachau;+43 2732 72540;;ÖWM-Betriebssuche
Amon (Weinstrasse);Weinstrasse 13;3550;Gobelsburg;AT;Niederösterreich;Kamptal;+43 664 3436399;weingut.amon@gmail.com;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
Amon (Wildendürnbach);Wildendürnbach 26;2164;Wildendürnbach;AT;Niederösterreich;Weinviertel;;;ÖWM-Betriebssuche
Amon (Zeile);Zeile 8;2170;Kleinhadersdorf;AT;Niederösterreich;Weinviertel;+43 664 1858038;office@amon.bio;ÖWM-Betriebssuche
Anderl (Gföhler Straße);Gföhler Straße 7;3552;Lengenfeld;AT;Niederösterreich;Kremstal;+43 650 5131397;info@anderlwein.at;ÖWM-Betriebssuche (Update bestehender Leadlisten-Eintrag)
